participantID,instanceName,seqBall,responseTimeUrn,responseTimeColour,uA_r,uB_r,cB_r,cW_r,cP_r,cG_r,uC_r,uD_r,urns,colours,uA_c,uB_c,cB_c,cW_c,cP_c,cG_c,uC_c,uD_c,uA_s,uB_s,uC_s,uD_s,cB_s,cW_s,cP_s,cG_s,diff_uA,diff_uB,diff_uC,diff_uD,diff_cB,diff_cW,diff_cP,diff_cG,JSD_U_rc,JSD_C_rc,JSD_U_rs,JSD_C_rs,DQ_U_o,DQ_C_o,DQ_U_s,DQ_C_s,EWCC_u,MDCC_u,CC_u,EWCC_c,MDCC_c,CC_c,ACC_u,ACC_c,AEWCC_u,AEWCC_c,AMDCC_u,AMDCC_c
1010,13,2,76.1333,12.7836914,22.0,28.0,50.0,50.0,,,28.0,22.0,4,2,23.0,27.0,50.0,50.0,,,27.0,23.0,23.0,27.0,27.0,23.0,50.0,50.0,,,1.0,1.0,1.0,1.0,0.0,0.0,,,0.017072608666153576,0.0,0.017072608666153576,0.0,0.9829273913338464,1.0,0.9829273913338464,1.0,15.0,10.0,26.0,8.0,4.0,12.0,41.0,24.0,23.0,16.0,16.0,8.0
1010,13,3,65.80713,7.666992,15.0,35.0,45.0,55.0,,,30.0,20.0,4,2,14.000000000000002,21.0,45.0,55.00000000000001,,,32.0,33.0,13.0,22.0,34.0,31.0,49.0,51.0,,,0.9999999999999982,14.0,2.0,13.0,0.0,7.105427357601002e-15,,,0.15727213976786453,0.0,0.14432978552631373,0.034038811633641086,0.8427278602321355,1.0,0.8556702144736863,0.9659611883663589,15.0,10.0,26.0,8.0,4.0,12.0,67.0,36.0,38.0,24.0,26.0,12.0
10000,13,1,36.33423,15.55127,30.0,28.0,55.0,45.0,,,22.0,20.0,4,2,35.0,30.0,55.00000000000001,45.0,,,20.0,15.0,35.0,30.0,20.0,15.0,53.0,47.0,,,5.0,2.0,2.0,5.0,7.105427357601002e-15,0.0,,,0.0675727227810964,0.0,0.06757272278109647,0.01704164142481431,0.9324272772189036,1.0,0.9324272772189035,0.9829583585751857,8.0,6.0,15.0,8.0,4.0,12.0,15.0,12.0,8.0,8.0,6.0,4.0
10000,13,2,36.2194824,14.2504883,20.0,30.0,50.0,50.0,,,21.0,29.0,4,2,23.0,27.0,50.0,50.0,,,27.0,23.0,19.0,24.0,28.000000000000004,30.0,49.0,51.0,,,3.0,3.0,6.0,6.0,0.0,0.0,,,0.08086992521863332,0.0,0.07831982044930773,0.008493713513927347,0.9191300747813667,1.0,0.9216801795506923,0.9915062864860726,15.0,10.0,26.0,8.0,4.0,12.0,41.0,24.0,23.0,16.0,16.0,8.0
10000,13,3,17.0009766,29.7185059,14.0,18.0,33.0,67.0,,,30.0,38.0,4,2,14.000000000000002,21.0,45.0,55.00000000000001,,,32.0,33.0,12.0,24.0,25.0,40.0,44.0,56.00000000000001,,,1.7763568394002505e-15,3.0,2.0,5.0,12.0,11.999999999999993,,,0.048341594812851676,0.10463811505048805,0.07375283407607872,0.09612493860941436,0.9516584051871483,0.895361884949512,0.9262471659239213,0.9038750613905856,15.0,10.0,26.0,8.0,4.0,12.0,67.0,36.0,38.0,24.0,26.0,12.0
1003,14,1,16.53955,12.8583984,20.0,20.0,40.0,60.0,,,30.0,30.0,4,2,15.0,20.0,45.0,55.00000000000001,,,30.0,35.0,15.0,20.0,30.0,35.0,47.0,53.0,,,5.0,0.0,0.0,5.0,5.0,4.999999999999993,,,0.06303692779954677,0.042962057701503034,0.06303692779954623,0.059988030512285094,0.9369630722004533,0.9570379422984969,0.9369630722004538,0.9400119694877149,8.0,6.0,15.0,8.0,4.0,12.0,15.0,12.0,8.0,8.0,6.0,4.0
1003,14,2,85.80652,25.3433838,18.0,19.0,40.0,60.0,,,30.0,33.0,4,2,8.0,15.0,41.0,60.0,,,33.0,45.0,11.0,15.0,34.0,40.0,46.0,54.0,,,10.0,4.0,3.0,12.0,1.0,0.0,,,0.15164792971949678,0.005143268544469881,0.10574936090033771,0.05148320640240413,0.8483520702805032,0.9948567314555301,0.8942506390996623,0.9485167935975959,15.0,10.0,26.0,8.0,4.0,12.0,41.0,24.0,23.0,16.0,16.0,8.0
1003,14,3,59.8630371,25.0629883,18.0,20.0,35.0,65.0,,,30.0,32.0,4,2,14.000000000000002,21.0,45.0,55.00000000000001,,,32.0,33.0,27.0,25.0,26.0,22.0,46.0,54.0,,,3.9999999999999982,1.0,2.0,1.0,10.0,9.999999999999993,,,0.046736454603262326,0.08677176829487179,0.12764493634122873,0.09527393316310047,0.9532635453967376,0.9132282317051282,0.8723550636587712,0.9047260668368995,15.0,10.0,26.0,8.0,4.0,12.0,67.0,36.0,38.0,24.0,26.0,12.0
1005,14,1,24.3249512,16.4750977,15.0,20.0,49.0,51.0,,,30.0,35.0,4,2,15.0,20.0,45.0,55.00000000000001,,,30.0,35.0,15.0,20.0,30.0,35.0,45.0,55.00000000000001,,,0.0,0.0,0.0,0.0,4.0,4.000000000000007,,,0.0,0.034038811633641086,4.002140991903532e-09,0.034038811633641086,1.0,0.9659611883663589,0.999999995997859,0.9659611883663589,8.0,6.0,15.0,8.0,4.0,12.0,15.0,12.0,8.0,8.0,6.0,4.0
1005,14,2,27.4082031,7.425049,13.0,18.0,39.0,61.0,,,32.0,37.0,4,2,8.0,15.0,41.0,60.0,,,33.0,45.0,8.0,15.0,33.0,45.0,44.0,56.00000000000001,,,5.0,3.0,1.0,8.0,2.0,1.0,,,0.0901954579455169,0.013830050119810226,0.0901954579455169,0.043103711509426774,0.9098045420544831,0.9861699498801898,0.9098045420544831,0.9568962884905732,15.0,10.0,26.0,8.0,4.0,12.0,41.0,24.0,23.0,16.0,16.0,8.0
1005,14,3,28.7788086,22.4211426,12.0,25.0,45.0,55.0,,,33.0,30.0,4,2,14.000000000000002,21.0,45.0,55.00000000000001,,,32.0,33.0,21.0,25.0,28.999999999999996,25.0,46.0,54.0,,,2.0000000000000018,4.0,1.0,3.0,0.0,7.105427357601002e-15,,,0.048810532083794836,0.0,0.10742047920412032,0.008527899910057452,0.9511894679162052,1.0,0.8925795207958797,0.9914721000899426,15.0,10.0,26.0,8.0,4.0,12.0,67.0,36.0,38.0,24.0,26.0,12.0
1010,14,1,29.0761719,25.3168945,15.0,20.0,55.0,45.0,,,30.0,35.0,4,2,15.0,20.0,45.0,55.00000000000001,,,30.0,35.0,15.0,20.0,30.0,35.0,45.0,55.00000000000001,,,0.0,0.0,0.0,0.0,10.0,10.000000000000007,,,0.0,0.0850032117757428,4.002140991903532e-09,0.0850032117757428,1.0,0.9149967882242572,0.999999995997859,0.9149967882242572,8.0,6.0,15.0,8.0,4.0,12.0,15.0,12.0,8.0,8.0,6.0,4.0
1010,14,2,53.284668,16.2910156,10.0,15.0,42.0,58.0,,,35.0,40.0,4,2,8.0,15.0,41.0,60.0,,,33.0,45.0,8.0,15.0,33.0,45.0,42.0,57.99999999999999,,,2.0,0.0,2.0,5.0,1.0,2.0,,,0.045260604279639294,0.012126294189820355,0.045260604279639294,0.0,0.9547393957203607,0.9878737058101796,0.9547393957203607,1.0,15.0,10.0,26.0,8.0,4.0,12.0,41.0,24.0,23.0,16.0,16.0,8.0
1010,14,3,54.1157227,13.2504883,15.0,20.0,55.0,45.0,,,31.0,34.0,4,2,14.000000000000002,21.0,45.0,55.00000000000001,,,32.0,33.0,17.0,21.0,33.0,28.999999999999996,45.0,55.00000000000001,,,0.9999999999999982,1.0,1.0,1.0,10.0,10.000000000000007,,,0.017984964993370604,0.0850032117757428,0.046875615392324044,0.0850032117757428,0.9820150350066293,0.9149967882242572,0.953124384607676,0.9149967882242572,15.0,10.0,26.0,8.0,4.0,12.0,67.0,36.0,38.0,24.0,26.0,12.0
