participantID,instanceName,seqBall,responseTimeUrn,responseTimeColour,age,sex,probSubject,bayesFamaliar,bayesInExp,uA_r,uB_r,cB_r,cW_r,cP_r,cG_r,uC_r,uD_r,urns,colours,uA_c,uB_c,cB_c,cW_c,cP_c,cG_c,uC_c,uD_c,uA_s,uB_s,uC_s,uD_s,cB_s,cW_s,cP_s,cG_s,diff_uA,diff_uB,diff_uC,diff_uD,diff_cB,diff_cW,diff_cP,diff_cG,JSD_U_rc,JSD_C_rc,JSD_U_rs,JSD_C_rs,DQ_U_o,DQ_C_o,DQ_U_s,DQ_C_s,EWCC_u,MDCC_u,CC_u,EWCC_c,MDCC_c,CC_c,ACC_u,ACC_c,AEWCC_u,AEWCC_c,AMDCC_u,AMDCC_c,DV_seqBall_1,DV_seqBall_2,DV_seqBall_3
46,13,3,24.4831543,7.65014648,45,Male,Yes,No,Sometimes,25.0,27.0,47.0,53.0,,,27.0,21.0,4,2,14.000000000000002,21.0,45.0,55.00000000000001,,,32.0,33.0,20.0,23.0,31.0,27.0,51.0,49.0,,,10.999999999999998,6.0,5.0,12.0,2.0,2.000000000000007,,,0.1590107679705943,0.01704164142481431,0.08257895748107545,0.03398421093000655,0.8409892320294057,0.9829583585751857,0.9174210425189245,0.9660157890699934,15.0,10.0,26.0,8.0,4.0,12.0,67.0,36.0,38.0,24.0,26.0,12.0,0,0,1
47,13,1,42.8339844,68.84961,21,Female,No,No,Not Applicable,35.0,30.0,55.0,45.0,,,20.0,15.0,4,2,35.0,30.0,55.00000000000001,45.0,,,20.0,15.0,35.0,30.0,20.0,15.0,55.00000000000001,45.0,,,0.0,0.0,0.0,0.0,7.105427357601002e-15,0.0,,,0.0,0.0,4.002140991903532e-09,0.0,1.0,1.0,0.999999995997859,1.0,8.0,6.0,15.0,8.0,4.0,12.0,15.0,12.0,8.0,8.0,6.0,4.0,1,0,0
47,13,2,32.1005859,9.266602,21,Female,No,No,Not Applicable,20.0,20.0,50.0,50.0,,,25.0,35.0,4,2,23.0,27.0,50.0,50.0,,,27.0,23.0,23.0,27.0,27.0,23.0,46.0,54.0,,,3.0,7.0,2.0,12.0,0.0,0.0,,,0.1175879604086063,0.0,0.1175879604086063,0.03400465534436373,0.8824120395913937,1.0,0.8824120395913937,0.9659953446556363,15.0,10.0,26.0,8.0,4.0,12.0,41.0,24.0,23.0,16.0,16.0,8.0,0,1,0
47,13,3,37.84961,15.1835938,21,Female,No,No,Not Applicable,15.0,20.0,35.0,65.0,,,30.0,35.0,4,2,14.000000000000002,21.0,45.0,55.00000000000001,,,32.0,33.0,11.0,15.0,28.000000000000004,46.0,45.0,55.00000000000001,,,0.9999999999999982,1.0,2.0,2.0,10.0,9.999999999999993,,,0.025637816028615083,0.08677176829487179,0.10230719947251841,0.08677176829487179,0.974362183971385,0.9132282317051282,0.8976928005274816,0.9132282317051282,15.0,10.0,26.0,8.0,4.0,12.0,67.0,36.0,38.0,24.0,26.0,12.0,0,0,1
49,13,1,76.0,21.6835938,22,Female,No,No,Never,45.0,25.0,53.0,47.0,,,20.0,10.0,4,2,35.0,30.0,55.00000000000001,45.0,,,20.0,15.0,35.0,30.0,20.0,15.0,56.99999999999999,42.0,,,10.0,5.0,0.0,5.0,2.000000000000007,2.0,,,0.09896011429664149,0.01704164142481431,0.09896011429664212,0.03908929534232121,0.9010398857033585,0.9829583585751857,0.9010398857033579,0.9609107046576788,8.0,6.0,15.0,8.0,4.0,12.0,15.0,12.0,8.0,8.0,6.0,4.0,1,0,0
49,13,2,1.65039063,1.21630859,22,Female,No,No,Never,45.0,25.0,53.0,47.0,,,20.0,10.0,4,2,23.0,27.0,50.0,50.0,,,27.0,23.0,32.0,24.0,28.000000000000004,16.0,56.99999999999999,42.0,,,22.0,2.0,7.0,13.0,3.0,3.0,,,0.2217475085005066,0.02549304867489489,0.13378520208357333,0.03908929534232121,0.7782524914994934,0.9745069513251051,0.8662147979164266,0.9609107046576788,15.0,10.0,26.0,8.0,4.0,12.0,41.0,24.0,23.0,16.0,16.0,8.0,0,1,0
49,13,3,22.7998047,1.33349609,22,Female,No,No,Never,39.0,32.0,53.0,47.0,,,15.0,14.0,4,2,14.000000000000002,21.0,45.0,55.00000000000001,,,32.0,33.0,32.0,24.0,28.000000000000004,16.0,56.99999999999999,43.0,,,25.0,11.0,17.0,19.0,8.0,8.000000000000007,,,0.3221236941235019,0.06799573865350739,0.14666336919930864,0.0341488083903164,0.677876305876498,0.9320042613464926,0.8533366308006913,0.9658511916096836,15.0,10.0,26.0,8.0,4.0,12.0,67.0,36.0,38.0,24.0,26.0,12.0,0,0,1
50,13,1,43.8999023,23.6835938,23,Female,Yes,No,Never,35.0,30.0,55.0,45.0,,,20.0,15.0,4,2,35.0,30.0,55.00000000000001,45.0,,,20.0,15.0,35.0,30.0,20.0,15.0,55.00000000000001,45.0,,,0.0,0.0,0.0,0.0,7.105427357601002e-15,0.0,,,0.0,0.0,4.002140991903532e-09,0.0,1.0,1.0,0.999999995997859,1.0,8.0,6.0,15.0,8.0,4.0,12.0,15.0,12.0,8.0,8.0,6.0,4.0,1,0,0
50,13,2,146.9336,13.3666992,23,Female,Yes,No,Never,23.0,27.0,52.0,48.0,,,27.0,23.0,4,2,23.0,27.0,50.0,50.0,,,27.0,23.0,23.0,27.0,27.0,23.0,50.0,50.0,,,0.0,0.0,0.0,0.0,2.0,2.0,,,0.0,0.01699040185542936,0.0,0.01699040185542936,1.0,0.9830095981445707,1.0,0.9830095981445707,15.0,10.0,26.0,8.0,4.0,12.0,41.0,24.0,23.0,16.0,16.0,8.0,0,1,0
50,13,3,45.0332031,14.0332031,23,Female,Yes,No,Never,18.0,22.0,45.0,55.0,,,29.0,31.0,4,2,14.000000000000002,21.0,45.0,55.00000000000001,,,32.0,33.0,14.000000000000002,22.0,32.0,32.0,47.0,53.0,,,3.9999999999999982,1.0,3.0,2.0,0.0,7.105427357601002e-15,,,0.05147614977530863,0.0,0.04896634781306445,0.01704164142481431,0.9485238502246913,1.0,0.9510336521869356,0.9829583585751857,15.0,10.0,26.0,8.0,4.0,12.0,67.0,36.0,38.0,24.0,26.0,12.0,0,0,1
